user_id,user_screen_name,user_friends_count,user_create_at,tweet_id,tweet_lang,tweet_country_code,tweet_country,tweet_place_type,tweet_place_name,tweet_coordinates,tweet_nbr_hashtags,tweet_hashtags,user_mentions_nbr,user_mentions_ids_str,user_mentions_screen_name,retweet_id,retweet_hashtags,quoted_status_id_tweet,quote_status_id_str,quote_status_id_screen_name,retweet_hashtags_nbr,status
827028960877895680,sprite_yam_yam,396,Thu Feb 02 05:40:44 +0000 2017,1008360043324948486,ko,,,,,[],,[],,[],[],,[],1.0083398332096184e+18,7.612209602131681e+17,LeroySane19,,normal
516244923,jimincolucci,514,Tue Mar 06 06:06:47 +0000 2012,1008360044126199808,en,,,,,[],,[],1.0,['2949064064'],['joonsxo'],1.008238491505836e+18,[],1.0082101629796229e+18,296649346.0,OCmayra,,normal
3429606059,yoursportsnews1,2036,Tue Aug 18 09:25:43 +0000 2015,1008360043392233472,en,,,,,[],1.0,['mex'],,[],[],,[],,,,,normal
391461548,humberto10beto,623,Sat Oct 15 16:08:21 +0000 2011,1008360044717633536,en,,,,,[],3.0,"['eugenioderbez', 'telemundo', 'copamundial2018']",1.0,['51218174'],['brendablanco'],1.0083562691603702e+18,"['eugenioderbez', 'telemundo', 'copamundial2018']",1.0083554485363958e+18,8.708121948621128e+17,JerryBoKnowz,3.0,normal
1306116049,leogerchmann,527,Wed Mar 27 00:58:47 +0000 2013,1008360045267116032,es,,,,,[],,[],,[],[],,[],1.0083356947821937e+18,3319332427.0,Geromeloficial,,normal
1118262031,thefakevik,1780,Fri Jan 25 02:44:21 +0000 2013,1008360045854232576,en,,,,,[],1.0,['nadanosdetiene'],2.0,"['3253879915', '138372303']","['miseleccionmxen', 'fifaworldcup']",1.0083502378224763e+18,['nadanosdetiene'],,,,1.0,normal
711158726221303808,faresalarab8,144,Sat Mar 19 11:53:47 +0000 2016,1008360045942370305,und,,,,,[],,[],1.0,['967719677509230592'],['salsabilwarwick'],1.0079166049638728e+18,[],,,,,normal
820313784258625536,estradagasp,376,Sat Jan 14 16:57:01 +0000 2017,1008360046110105601,en,,,,,[],,[],1.0,['2551822934'],['ussoccerfeed'],1.0083559406624154e+18,[],1.0083464403751322e+18,2350218440.0,DFB_Team_EN,,normal
1108557061,beesmatt9,2600,Mon Jan 21 09:22:48 +0000 2013,1008360046273679360,en,,,,,[],,[],,[],[],,[],,,,,normal
998967254808236033,deepans63793955,8,Tue May 22 16:42:08 +0000 2018,1008360047364239360,en,,,,,[],,[],,[],[],,[],1.0083544410058629e+18,44606764.0,OptaJoe,,normal
890010494,afnandarwisy27,254,Fri Oct 19 00:31:15 +0000 2012,1008360047255085056,en,,,,,[],,[],1.0,['870110790245785600'],['itsanguiano13'],1.0080210854329221e+18,[],1.0079944582380544e+18,890891.0,BleacherReport,,normal
225583894,lifejotto,107,Sat Dec 11 23:21:00 +0000 2010,1008360048635019265,de,,,,,[],,[],1.0,['462312323'],['football__tweet'],1.0083451770801152e+18,[],,,,,normal
1030885640,samueloduro322,4937,Sun Dec 23 16:26:54 +0000 2012,1008360048987394049,en,,,,,[],,[],1.0,['705174625659916288'],['brazilstat'],1.008355283209515e+18,[],,,,,normal
903951560232771584,ibnfzi_,292,Sat Sep 02 12:03:41 +0000 2017,1008360048672661504,in,,,,,[],,[],,[],[],,[],1.008349074410664e+18,4691919164.0,FromTStands,,normal
48043279,wanxeijas,510,Wed Jun 17 17:40:07 +0000 2009,1008360049192792067,en,,,,,[],,[],1.0,['705174625659916288'],['brazilstat'],1.008355283209515e+18,[],,,,,normal
796892462,makuo_chris,655,Sat Sep 01 21:17:05 +0000 2012,1008360049444614144,en,,,,,[],,[],1.0,['870110790245785600'],['itsanguiano13'],1.0080210854329221e+18,[],1.0079944582380544e+18,890891.0,BleacherReport,,normal
